ncm;aliquota_icms;aliquota_ipi;aliquota_pis;aliquota_cofins
00000000;0.00;0.00;1.65;7.60
00000000;18.00;0.00;1.65;7.60
11081200;0.00;0.00;1.65;7.60
11081200;7.00;0.00;1.65;7.60
11081200;18.00;0.00;1.65;7.60
12119090;0.00;0.00;0.00;0.00
13019090;0.00;0.00;0.65;3.00
13019090;0.00;0.00;1.65;7.60
13019090;0.00;3.25;1.65;7.60
13019090;4.00;0.00;1.65;7.60
15153000;18.00;0.00;1.65;7.60
15162000;0.00;0.00;0.00;0.00
15162000;0.00;0.00;1.65;7.60
15200020;18.00;0.00;1.65;7.60
15211000;0.00;0.00;1.65;7.60
22019000;0.00;0.00;0.65;3.00
22019000;0.00;0.00;1.65;7.60
22071010;18.00;0.00;1.65;7.60
22071090;0.00;0.00;0.00;0.00
22071090;0.00;0.00;1.29;5.91
22071090;0.00;0.00;1.65;7.60
22071090;4.00;0.00;1.65;7.60
22071090;7.00;0.00;1.65;7.60
22071090;20.50;0.00;1.65;7.60
22072011;0.00;5.20;0.00;0.00
22072019;18.00;5.20;1.65;7.60
22072919;18.00;0.00;1.65;7.60
25010090;0.00;0.00;1.65;7.60
25070010;4.00;0.00;1.65;7.60
27076010;18.00;0.00;1.65;7.60
27079990;18.00;0.00;1.65;7.60
27101230;0.00;0.00;1.65;7.60
27101230;4.00;0.00;1.65;7.60
27101230;12.00;0.00;1.65;7.60
27101230;20.50;0.00;1.65;7.60
27101921;0.00;0.00;0.00;0.00
27101932;0.00;0.00;0.00;0.00
27101991;0.00;0.00;1.65;7.60
27101991;4.00;0.00;1.65;7.60
27101991;20.50;0.00;1.65;7.60
27101999;0.00;0.00;0.00;0.00
27111910;0.00;0.00;0.00;0.00
27111910;0.00;0.00;1.65;7.60
27121000;4.00;5.20;1.65;7.60
27121000;20.50;5.20;1.65;7.60
27121010;18.00;0.00;1.65;7.60
27122000;18.00;0.00;1.65;7.60
27129000;0.00;0.00;1.65;7.60
27129000;18.00;0.00;1.65;7.60
28061010;18.00;0.00;1.65;7.60
28061020;0.00;0.00;0.00;0.00
28061020;0.00;0.00;0.65;3.00
28061020;0.00;0.00;1.65;7.60
28061020;18.00;0.00;1.65;7.60
28061020;20.50;0.00;1.65;7.60
28070010;0.00;0.00;0.00;0.00
28092011;0.00;0.00;1.65;7.60
28092011;4.00;0.00;1.65;7.60
28111100;18.00;0.00;1.65;7.60
28142000;0.00;0.00;1.65;7.60
28142000;18.00;0.00;1.65;7.60
28151100;0.00;0.00;1.65;7.60
28151100;20.50;0.00;1.65;7.60
28151200;18.00;0.00;1.65;7.60
28152000;0.00;0.00;1.65;7.60
28152000;4.00;0.00;1.65;7.60
28152000;18.00;0.00;1.65;7.60
28269026;18.00;0.00;1.65;7.60
28272090;18.00;0.00;1.65;7.60
28273200;18.00;0.00;1.65;7.60
28274921;18.00;0.00;1.65;7.60
28276012;0.00;0.00;0.00;0.00
28276012;0.00;0.00;1.65;7.60
28281000;18.00;0.00;1.65;7.60
28289011;0.00;0.00;1.65;7.60
28289011;18.00;0.00;1.65;7.60
28289011;20.50;0.00;1.65;7.60
28289019;0.00;0.00;1.65;7.60
28289019;18.00;0.00;1.65;7.60
28323020;0.00;0.00;0.00;0.00
28323020;0.00;0.00;0.65;3.00
28323020;0.00;0.00;1.65;7.60
28332100;0.00;0.00;1.65;7.60
28332100;4.00;0.00;1.65;7.60
28332200;0.00;0.00;1.65;7.60
28332200;20.50;0.00;1.65;7.60
28352400;0.00;0.00;0.65;3.00
28352400;0.00;0.00;1.65;7.60
28353110;0.00;0.00;1.65;7.60
28353110;18.00;0.00;1.65;7.60
28353190;0.00;0.00;1.65;7.60
28353190;4.00;0.00;1.65;7.60
28353190;20.50;0.00;1.65;7.60
28362010;0.00;0.00;1.65;7.60
28362010;20.50;0.00;1.65;7.60
28363000;0.00;0.00;1.65;7.60
28363000;20.50;0.00;1.65;7.60
28369920;0.00;0.00;0.00;0.00
28369920;0.00;0.00;1.65;7.60
28391100;0.00;0.00;1.65;7.60
28391100;4.00;0.00;1.65;7.60
28391100;18.00;0.00;1.65;7.60
28413000;0.00;0.00;0.00;0.00
28413000;0.00;0.00;1.65;7.60
28413000;4.00;0.00;1.65;7.60
28413000;18.00;0.00;1.65;7.60
28429000;0.00;0.00;0.65;3.00
28470000;0.00;0.00;1.65;7.60
28470000;18.00;0.00;1.65;7.60
29012900;4.00;0.00;1.65;7.60
29021100;0.00;0.00;1.65;7.60
29021910;0.00;0.00;1.65;7.60
29021910;4.00;0.00;1.65;7.60
29021990;0.00;0.00;1.65;7.60
29021990;4.00;0.00;1.65;7.60
29021990;18.00;0.00;1.65;7.60
29029020;18.00;0.00;1.65;7.60
29029090;0.00;0.00;1.65;7.60
29029090;4.00;0.00;1.65;7.60
29051220;0.00;0.00;1.65;7.60
29051220;20.50;0.00;1.65;7.60
29051710;0.00;0.00;1.65;7.60
29051710;4.00;0.00;1.65;7.60
29051919;4.00;0.00;1.65;7.60
29051994;0.00;0.00;1.65;7.60
29051994;4.00;0.00;1.65;7.60
29051999;0.00;0.00;0.65;3.00
29051999;0.00;0.00;1.65;7.60
29051999;4.00;0.00;1.65;7.60
29052210;0.00;0.00;1.65;7.60
29052210;4.00;0.00;1.65;7.60
29052220;0.00;0.00;1.65;7.60
29052220;4.00;0.00;1.65;7.60
29052230;0.00;0.00;1.65;7.60
29052230;4.00;0.00;1.65;7.60
29052290;4.00;0.00;1.65;7.60
29052290;18.00;0.00;1.65;7.60
29052990;0.00;0.00;0.65;3.00
29052990;0.00;0.00;1.65;7.60
29052990;4.00;0.00;1.65;7.60
29053100;0.00;0.00;1.65;7.60
29053990;18.00;0.00;1.65;7.60
29054500;0.00;0.00;1.65;7.60
29054500;20.50;0.00;1.65;7.60
29061100;4.00;0.00;1.65;7.60
29061100;20.50;0.00;1.65;7.60
29061300;4.00;0.00;1.65;7.60
29061920;0.00;0.00;0.00;0.00
29061920;0.00;0.00;0.65;3.00
29061920;0.00;0.00;1.65;7.60
29061920;4.00;0.00;1.65;7.60
29061940;0.00;0.00;1.65;7.60
29061950;0.00;3.25;1.65;7.60
29061950;4.00;0.00;1.65;7.60
29061990;0.00;0.00;1.65;7.60
29061990;4.00;0.00;1.65;7.60
29061990;18.00;0.00;1.65;7.60
29062100;0.00;0.00;1.65;7.60
29062100;4.00;0.00;1.65;7.60
29062100;7.00;0.00;1.65;7.60
29062910;0.00;0.00;1.65;7.60
29062910;18.00;0.00;1.65;7.60
29062990;0.00;0.00;1.65;7.60
29062990;4.00;0.00;1.65;7.60
29062990;18.00;0.00;1.65;7.60
29071910;0.00;0.00;1.65;7.60
29071910;4.00;0.00;1.65;7.60
29071990;4.00;0.00;1.65;7.60
29091990;4.00;0.00;1.65;7.60
29092000;0.00;3.25;1.65;7.60
29092000;4.00;0.00;1.65;7.60
29093011;0.00;0.00;1.65;7.60
29093011;4.00;0.00;1.65;7.60
29093012;0.00;0.00;1.65;7.60
29093012;4.00;0.00;1.65;7.60
29093014;0.00;0.00;0.65;3.00
29093014;0.00;0.00;1.65;7.60
29093019;0.00;0.00;1.65;7.60
29093019;4.00;0.00;1.65;7.60
29093029;0.00;0.00;1.65;7.60
29094310;0.00;0.00;1.65;7.60
29094310;4.00;0.00;1.65;7.60
29094310;20.50;0.00;1.65;7.60
29094421;0.00;0.00;1.65;7.60
29094931;0.00;0.00;1.65;7.60
29094931;4.00;0.00;1.65;7.60
29094931;18.00;0.00;1.65;7.60
29094932;4.00;0.00;1.65;7.60
29094990;0.00;0.00;0.65;3.00
29094990;0.00;0.00;1.65;7.60
29095012;0.00;0.00;1.65;7.60
29095012;4.00;0.00;1.65;7.60
29095013;0.00;0.00;1.65;7.60
29095013;4.00;0.00;1.65;7.60
29096090;0.00;0.00;0.65;3.00
29096090;0.00;0.00;1.65;7.60
29109090;4.00;0.00;1.65;7.60
29110090;0.00;0.00;1.65;7.60
29110090;4.00;0.00;1.65;7.60
29121100;0.00;0.00;0.00;0.00
29121100;0.00;0.00;1.65;7.60
29121100;20.50;0.00;1.65;7.60
29121919;0.00;0.00;1.65;7.60
29121921;0.00;0.00;1.65;7.60
29121921;4.00;0.00;1.65;7.60
29121921;18.00;0.00;1.65;7.60
29121929;4.00;0.00;1.65;7.60
29121999;0.00;0.00;0.65;3.00
29121999;0.00;0.00;1.65;7.60
29121999;4.00;0.00;1.65;7.60
29121999;18.00;0.00;1.65;7.60
29122910;0.00;0.00;1.65;7.60
29122910;4.00;0.00;1.65;7.60
29122910;7.00;0.00;1.65;7.60
29122920;0.00;0.00;1.65;7.60
29122920;4.00;0.00;1.65;7.60
29122990;0.00;0.00;1.65;7.60
29122990;4.00;0.00;1.65;7.60
29122990;7.00;0.00;1.65;7.60
29122990;18.00;0.00;1.65;7.60
29123010;18.00;0.00;1.65;7.60
29124100;0.00;0.00;1.65;7.60
29124200;0.00;0.00;1.65;7.60
29124200;4.00;0.00;1.65;7.60
29124941;0.00;0.00;1.65;7.60
29124949;0.00;0.00;1.65;7.60
29124949;4.00;0.00;1.65;7.60
29124990;0.00;0.00;1.65;7.60
29124990;4.00;0.00;1.65;7.60
29124990;7.00;0.00;0.65;3.00
29124990;18.00;0.00;1.65;7.60
29141923;4.00;0.00;1.65;7.60
29141930;4.00;0.00;1.65;7.60
29141990;4.00;0.00;0.65;3.00
29141990;4.00;0.00;1.65;7.60
29142100;18.00;0.00;1.65;7.60
29142310;0.00;0.00;1.65;7.60
29142310;4.00;0.00;1.65;7.60
29142320;0.00;0.00;0.65;3.00
29142320;0.00;0.00;1.65;7.60
29142320;4.00;0.00;1.65;7.60
29142320;7.00;0.00;1.65;7.60
29142910;0.00;0.00;1.65;7.60
29142910;4.00;0.00;1.65;7.60
29142910;20.50;0.00;1.65;7.60
29142990;0.00;0.00;0.65;3.00
29142990;0.00;0.00;1.65;7.60
29142990;4.00;0.00;1.65;7.60
29142990;7.00;0.00;1.65;7.60
29142990;20.50;0.00;1.65;7.60
29143910;4.00;0.00;1.65;7.60
29143990;0.00;0.00;1.65;7.60
29143990;4.00;0.00;1.65;7.60
29145090;0.00;0.00;1.65;7.60
29145090;4.00;0.00;1.65;7.60
29147029;18.00;0.00;1.65;7.60
29147990;0.00;0.00;0.65;3.00
29147990;0.00;0.00;1.65;7.60
29147990;4.00;0.00;1.65;7.60
29147990;12.00;0.00;1.65;7.60
29147990;20.50;0.00;1.65;7.60
29151390;0.00;0.00;1.65;7.60
29151390;4.00;0.00;1.65;7.60
29151390;7.00;0.00;1.65;7.60
29152100;0.00;0.00;0.65;3.00
29152100;0.00;0.00;1.65;7.60
29153100;0.00;0.00;1.65;7.60
29153910;0.00;0.00;1.65;7.60
29153910;4.00;0.00;1.65;7.60
29153929;4.00;0.00;1.65;7.60
29153939;4.00;0.00;0.65;3.00
29153939;4.00;0.00;1.65;7.60
29153942;0.00;0.00;1.65;7.60
29153961;0.00;0.00;1.65;7.60
29153962;4.00;0.00;1.65;7.60
29153991;0.00;0.00;1.65;7.60
29153991;4.00;0.00;1.65;7.60
29153992;0.00;0.00;1.65;7.60
29153992;4.00;0.00;1.65;7.60
29153993;0.00;0.00;1.65;7.60
29153999;0.00;0.00;0.65;3.00
29153999;0.00;0.00;1.65;7.60
29153999;0.00;3.25;1.65;7.60
29153999;4.00;0.00;1.65;7.60
29153999;18.00;0.00;1.65;7.60
29155030;0.00;0.00;1.65;7.60
29155030;4.00;0.00;1.65;7.60
29156011;4.00;0.00;1.65;7.60
29156012;0.00;0.00;1.65;7.60
29156012;4.00;0.00;1.65;7.60
29156019;0.00;0.00;1.65;7.60
29156019;4.00;0.00;1.65;7.60
29156029;0.00;0.00;1.65;7.60
29159033;0.00;0.00;1.65;7.60
29159039;0.00;0.00;1.65;7.60
29159090;0.00;0.00;1.65;7.60
29159090;4.00;0.00;1.65;7.60
29159090;18.00;0.00;1.65;7.60
29161990;0.00;0.00;0.55;2.50
29161990;0.00;0.00;0.65;3.00
29161990;0.00;0.00;1.65;7.60
29161990;4.00;0.00;1.65;7.60
29162090;0.00;0.00;1.65;7.60
29162090;4.00;0.00;1.65;7.60
29163131;0.00;0.00;1.65;7.60
29163131;4.00;0.00;1.65;7.60
29163131;18.00;0.00;1.65;7.60
29163132;4.00;0.00;1.65;7.60
29163139;4.00;0.00;1.65;7.60
29163990;0.00;0.00;1.65;7.60
29163990;4.00;0.00;1.65;7.60
29171990;0.00;0.00;1.65;7.60
29172000;0.00;0.00;1.65;7.60
29172000;4.00;0.00;1.65;7.60
29172000;7.00;0.00;1.65;7.60
29173400;4.00;0.00;1.65;7.60
29181990;0.00;0.00;1.65;7.60
29182300;0.00;0.00;1.65;7.60
29182300;4.00;0.00;0.65;3.00
29182300;4.00;0.00;1.65;7.60
29182990;0.00;0.00;1.65;7.60
29183090;0.00;0.00;0.65;3.00
29183090;0.00;0.00;1.65;7.60
29183090;4.00;0.00;1.65;7.60
29189999;0.00;0.00;1.65;7.60
29189999;4.00;0.00;1.65;7.60
29199090;0.00;0.00;1.65;7.60
29199090;4.00;0.00;1.65;7.60
29221100;0.00;0.00;1.65;7.60
29221100;4.00;0.00;1.65;7.60
29221310;18.00;0.00;1.65;7.60
29224920;4.00;0.00;1.65;7.60
29224920;18.00;0.00;1.65;7.60
29224990;0.00;0.00;0.00;0.00
29224990;0.00;0.00;0.65;3.00
29224990;0.00;0.00;1.65;7.60
29225099;0.00;0.00;1.65;7.60
29239010;0.00;0.00;1.65;7.60
29239040;18.00;0.00;1.65;7.60
29239050;0.00;0.00;1.65;7.60
29239050;20.50;0.00;1.65;7.60
29239090;0.00;0.00;1.65;7.60
29239090;20.50;0.00;1.65;7.60
29241919;20.50;0.00;1.65;7.60
29241994;4.00;0.00;1.65;7.60
29241994;20.50;0.00;1.65;7.60
29241999;0.00;0.00;1.65;7.60
29241999;18.00;0.00;1.65;7.60
29252950;4.00;0.00;1.65;7.60
29269026;18.00;0.00;1.65;7.60
29269099;0.00;0.00;0.55;2.50
29269099;0.00;0.00;0.65;3.00
29269099;0.00;0.00;1.65;7.60
29269099;4.00;0.00;1.65;7.60
29269099;18.00;0.00;1.65;7.60
29270029;0.00;0.00;0.65;3.00
29280090;0.00;0.00;1.65;7.60
29280090;4.00;0.00;1.65;7.60
29302019;4.00;0.00;1.65;7.60
29314990;4.00;0.00;1.65;7.60
29321990;0.00;0.00;1.65;7.60
29322000;0.00;0.00;0.00;0.00
