codigo_produto_acabado;descricao_produto_acabado;grupo;ncm
01010004;AMACIANTE ABRAÇO;AMACIANTES;38099190
01010005;AMACIANTE ABRAÇO - 2LT;AMACIANTES;38099190
01010006;AMACIANTE ABRAÇO - 2LT C/06;AMACIANTES;38099190
03000062;AMACIANTE ABRAÇO - PET 5L;AMACIANTES;38099190
03000064;AMACIANTE ABRAÇO - PET 5L FD C/04;AMACIANTES;38099190
01010001;AMACIANTE CARINHO;AMACIANTES;38099190
01019133;AMACIANTE CARINHO - 2LT;AMACIANTES;38099190
01019136;AMACIANTE CARINHO - 2LT C/06;AMACIANTES;38099190
03000061;AMACIANTE CARINHO - PET 5L;AMACIANTES;38099190
03000063;AMACIANTE CARINHO - PET 5L FD C/04;AMACIANTES;38099190
01010002;AMACIANTE FOFURA;AMACIANTES;38099190
01019132;AMACIANTE FOFURA - 2LT;AMACIANTES;38099190
01019155;AMACIANTE FOFURA - 2LT C/06;AMACIANTES;38099190
03000003;AMACIANTE FOFURA - PET 5L;AMACIANTES;38099190
03000004;AMACIANTE FOFURA - PET 5L FD C/04;AMACIANTES;38099190
01070009;AROMATIZANTE BABY;AROMATIZADORES;33079000
01075386;AROMATIZANTE BABY - 500ML;AROMATIZADORES;38085910
01073586;AROMATIZANTE BABY - 500ML CX06;AROMATIZADORES;38085910
010779123;AROMATIZANTE BAMBOO;AROMATIZADORES;33079000
01077780;AROMATIZANTE BAMBOO - 500ML;AROMATIZADORES;38085910
01077781;AROMATIZANTE BAMBOO - 500ML CX06;AROMATIZADORES;38085910
01070010;AROMATIZANTE CARRO NOVO;AROMATIZADORES;33079000
01076523;AROMATIZANTE CARRO NOVO - 500ML;AROMATIZADORES;38085910
01075632;AROMATIZANTE CARRO NOVO - 500ML CX06;AROMATIZADORES;33079000
01070013;AROMATIZANTE CHA BRANCO;AROMATIZADORES;33074100
01071236;AROMATIZANTE CHA BRANCO - 500ML;AROMATIZADORES;33079000
01071114;AROMATIZANTE CHA BRANCO - 500ML CX06;AROMATIZADORES;38085910
01070015;AROMATIZANTE DELUXE BLANC;AROMATIZADORES;33079000
0107963;AROMATIZANTE DELUXE BLANC - 500ML;AROMATIZADORES;38085910
0107123;AROMATIZANTE DELUXE BLANC - 500ML CX06;AROMATIZADORES;38085910
01077951;AROMATIZANTE FLORAL (ANTIGO);AROMATIZADORES;33079000
01070035;AROMATIZANTE FLORAL (ANTIGO) - 1LT;AROMATIZADORES;33079000
01077952;AROMATIZANTE FLORAL BOUQUET;AROMATIZADORES;33079000
01077216;AROMATIZANTE FLORAL BOUQUET - 1LT;AROMATIZADORES;38085910
01077416;AROMATIZANTE FLORAL BOUQUET - 1LT CX12;AROMATIZADORES;38085910
01070016;AROMATIZANTE FLORAL BOUQUET - 500ML;AROMATIZADORES;38085910
01070020;AROMATIZANTE FLORAL BOUQUET - 500ML CX06;AROMATIZADORES;38085910
03000089;AROMATIZANTE FLORAL BOUQUET - PET 5L;AROMATIZADORES;38085910
03000093;AROMATIZANTE FLORAL BOUQUET - PET 5L FD C/04;AROMATIZADORES;38085910
01077953;AROMATIZANTE LAVANDA PROVENCE;AROMATIZADORES;33079000
01076827;AROMATIZANTE LAVANDA PROVENCE - 1LT;AROMATIZADORES;38085910
01077027;AROMATIZANTE LAVANDA PROVENCE - 1LT CX12;AROMATIZADORES;38085910
01070017;AROMATIZANTE LAVANDA PROVENCE - 500ML;AROMATIZADORES;38085910
01070021;AROMATIZANTE LAVANDA PROVENCE - 500ML CX06;AROMATIZADORES;38085910
03000090;AROMATIZANTE LAVANDA PROVENCE - PET 5L;AROMATIZADORES;38085910
03000094;AROMATIZANTE LAVANDA PROVENCE - PET 5L FD C/04;AROMATIZADORES;38085910
01077954;AROMATIZANTE PALMOLUX;AROMATIZADORES;33079000
01072126;AROMATIZANTE PALMOLUX - 1LT;AROMATIZADORES;38085910
01072326;AROMATIZANTE PALMOLUX - 1LT CX12;AROMATIZADORES;38085910
01070019;AROMATIZANTE PALMOLUX - 500ML;AROMATIZADORES;38085910
01070023;AROMATIZANTE PALMOLUX - 500ML CX06;AROMATIZADORES;38085910
03000091;AROMATIZANTE PALMOLUX - PET 5L;AROMATIZADORES;38085910
03000096;AROMATIZANTE PALMOLUX - PET 5L FD C/04;AROMATIZADORES;38085910
01070036;AROMATIZANTE ROXO (JORGE) - 1LT CX12;AROMATIZADORES;33079000
01070014;AROMATIZANTE SANDALO;AROMATIZADORES;33079000
01077950;AROMATIZANTE SANDALO - 500ML;AROMATIZADORES;38085910
01078150;AROMATIZANTE SANDALO - 500ML CX06;AROMATIZADORES;38085910
01077955;AROMATIZANTE TALCO;AROMATIZADORES;33079000
01076875;AROMATIZANTE TALCO - 1LT;AROMATIZADORES;38085910
01077075;AROMATIZANTE TALCO - 1LT CX12;AROMATIZADORES;38085910
01070018;AROMATIZANTE TALCO - 500ML;AROMATIZADORES;38085910
01070022;AROMATIZANTE TALCO - 500ML CX06;AROMATIZADORES;38085910
03000092;AROMATIZANTE TALCO - PET 5L;AROMATIZADORES;38085910
03000097;AROMATIZANTE TALCO - PET 5L FD C/04;AROMATIZADORES;38085910
01070011;AROMATIZANTE VERBENA;AROMATIZADORES;33079000
01071118;AROMATIZANTE VERBENA - 500ML;AROMATIZADORES;38085910
01071232;AROMATIZANTE VERBENA - 500ML CX06;AROMATIZADORES;38085910
01020008;CERA AUTO BRILHO;CERAS;34049019
01020009;CERA AUTO BRILHO - 1LT;CERAS;34049019
01020010;CERA AUTO BRILHO - 1LT C/12;CERAS;34049019
01020011;CERA AUTO BRILHO - 5LT;CERAS;34049019
01020012;CERA AUTO BRILHO - 5LT C/04;CERAS;34049019
01108045;CERA AUTOMOTIVA;CERAS;34049019
01104369;CERA AUTOMOTIVA - 10KG;CERAS;34049019
01104367;CERA AUTOMOTIVA - 2,5KG;CERAS;34049019
01100011;CERA AUTOMOTIVA - 2,5KG C/4;CERAS;34049019
01102303;CERA AUTOMOTIVA - 450GR;CERAS;34049019
01100008;CERA AUTOMOTIVA - 450GR CX12;CERAS;34049019
01101234;CERA AUTOMOTIVA BRANCA;CERAS;34049019
01101236;CERA AUTOMOTIVA BRANCA - 2,5KG;CERAS;34049019
01108095;CERA AUTOMOTIVA BRANCA - 2,5KG CX08;CERAS;34049019
01116003;CERA B AGUA INCOLOR CONCENTRADO;CERAS;34049019
01115871;CERA B AGUA INCOLOR CONCENTRADO - 1LT;CERAS;34049019
